unnecessary,unneeded,S
unnecessary,necessary,A
harmful,harmless,A
undesirable,unwanted,S
undesirable,desirable,A
specific,general,A
specific,nonspecific,A
other,same,A
on,off,A
no,some,A
no,all,A
single,individual,S
single,unmarried,S
single,double,A
single,common,A
single,married,A
single,multiple,A
all,some,A
best,good,S
best,worst,A
best,evil,A
best,bad,A
certain,sure,S
certain,sealed,S
certain,uncertain,A
certain,unsealed,A
many,few,A
exclusive,inclusive,A
much,little,A
legal,illegal,A
economic,economical,S
private,public,A
like,alike,S
like,similar,S
like,same,S
like,unlike,A
like,unalike,A
classical,classic,S
classical,nonclassical,A
long,recollective,S
long,tenacious,S
long,retentive,S
long,short,A
complete,incomplete,A
central,peripheral,A
social,societal,S
social,unsocial,A
represented,delineated,S
represented,delineate,S
communist,communistic,S
supported,unsupported,A
violent,nonviolent,A
greek,hellenic,S
used,misused,A
united,divided,A
still,moving,A
still,sparkling,A
common,uncommon,A
common,individual,A
outside,outdoor,S
outside,inside,A
outside,indoor,A
socialist,socialistic,S
socialist,capitalistic,A
found,lost,A
latter,former,A
similar,alike,S
similar,dissimilar,A
similar,unalike,A
similar,unlike,A
secular,worldly,S
secular,temporal,S
secular,profane,S
secular,religious,A
secular,sacred,A
secular,unworldly,A
religious,irreligious,A
moral,immoral,A
positive,positivistic,S
positive,confirming,S
positive,positivist,S
positive,negative,A
positive,neutral,A
first,second,A
first,last,A
civil,polite,S
civil,civic,S
civil,uncivil,A
civil,sidereal,A
french,gallic,S
revolutionary,rotatory,S
revolutionary,counterrevolutionary,A
developed,undeveloped,A
even,uneven,A
even,odd,A
spontaneous,induced,A
opposed,unopposed,A
formed,unformed,A
sufficient,insufficient,A
preventive,preventative,S
preventive,permissive,A
reduced,decreased,S
reduced,increased,A
minimum,minimal,S
minimum,maximal,A
more,less,A
more,fewer,A
intensive,extensive,A
federal,unitary,A
local,national,A
local,general,A
literal,figurative,A
collective,distributive,A
supportive,unsupportive,A
unlike,dissimilar,S
unlike,different,S
philosophical,philosophic,S
minimal,maximal,A
present,absent,A
present,past,A
present,future,A
evil,good,A
irrelevant,relevant,A
powerless,powerful,A
gradual,sudden,A
gradual,steep,A
most,fewest,A
most,least,A
general,specific,A
good,bad,A
equal,adequate,S
equal,inadequate,A
equal,unequal,A
right,correct,S
right,left,A
right,incorrect,A
right,wrong,A
right,center,A
late,early,A
published,unpublished,A
well,ill,A
permissible,allowable,S
permissible,impermissible,A
illegitimate,legitimate,A
combined,uncombined,A
small,little,S
small,large,A
following,leading,A
unorganized,unorganised,S
